bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol,C127127,4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol (C127127),C45398,Laboratory Tests;Nitroso Carcinogens;Carcinogenic Nitrosamines,NNAL;Nicotine-Derived Nitrosamine Alcohol,Quantitative,"The major metabolite of the potentially carcinogenic nitrosamine 4-methylnitrosamino-1,3-pyridyl-1-butanone (nicotine-derived nitrosamine ketone; NNK) that is detected in the urine of subjects exposed to tobacco products. 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol (nicotine-derived nitrosamine alcohol; NNAL) is produced by carbonyl reduction of NNK and may also be a carcinogen.",1,Carcinogenic Nitrosamine (C45398); 4-(Methylnitrosamino)-1-(3-Pyridyl)-1-Butanol (C127127),3
Abnormal Bleeding Indicator,C154889,Abnormal Bleeding Indicator (C154889),C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BLEEDIND;Abnormal Indicator,Ordinal,An indication as to whether there is the presence of abnormal bleeding.,1,Clinical Findings Indicator (C181043); Abnormal Bleeding Indicator (C154889),4
Abnormal Blood Chemistry and Hematology Test Result,C35553,Abnormal Blood Chemistry and Hematology Test Result (C35553),,Laboratory Tests;Abnormal Laboratory Test Results,,,A laboratory test result that indicates the presence of abnormal blood chemistry and/or hematology values.,0,Abnormal Blood Chemistry and Hematology Test Result (C35553),0
Abnormal Finding,C82547,Abnormal Finding (C82547),,Findings;Clinical Test Results,,,A decision that an observation or result is outside the parameters considered normal.,0,Abnormal Finding (C82547),0
Abnormal Indicator,C93491,Abnormal Indicator (C93491),,Clinical Findings Indicator;Indicator,,,Specifies whether an interpreted event or entity is abnormal.,0,Abnormal Indicator (C93491),0
Absolute Basophil Count,C64470,Absolute Basophil Count (C64470),C51948,Laboratory Tests;Hematology Tests;Blood Cell Counts;White Blood Cell Counts,Basophils;Total Basophil Count,Quantitative,The total number of white blood cells that are basophils. It is calculated by multiplying the white blood cell count by the percent of basophils in the differential white blood cell count.,3,Hematology Test (C49286); Blood Cell Count (C28133); Leukocyte Count (C51948); Absolute Basophil Count (C64470),4
Absolute Neutrophil Count,C63321,Absolute Neutrophil Count (C63321),C51950,Laboratory Tests;Hematology Tests;Blood Cell Counts;Leukocyte Counts;Neutrophil Counts,Neutrophils;Total Neutrophil Count;NEUT,Quantitative;Ordinal,"The real number of white blood cells (WBC) that are neutrophils. It is derived by multiplying the WBC count by the percent of neutrophils in the differential WBC count. The normal range for ANC is 1.5 to 8.0 (1,500 to 8,000/mm3).",4,Hematology Test (C49286); Blood Cell Count (C28133); Leukocyte Count (C51948); Neutrophil Count (C51950); Absolute Neutrophil Count (C63321),4
Academic Research Council Coronary Stent Thrombosis Timing,C123424,Academic Research Council Coronary Stent Thrombosis Timing (C123424),C35552,Findings About Cardiovascular Events;Cardiovascular System Finding,"STCTIMNG;Stent Thrombosis, Coronary, ARC Timing",Nominal,Categorization of the timing of coronary stent thrombosis occurrence per the classification schema described by the Academic Research Consortium (ARC).,1,Cardiovascular System Finding (C35552); Academic Research Council Coronary Stent Thrombosis Timing (C123424),6
Actively Menstruating Indicator,C204695,Actively Menstruating Indicator (C204695),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,AMENSIND,Ordinal,An indication as to whether the subject is menstruating at the time the question is asked.,1,Indicator (C25180); Actively Menstruating Indicator (C204695),2
Actual Date of Delivery,C178050,Actual Date of Delivery (C178050),,Reproductive Findings,ADLVRDTC,Temporal,The date on which the delivery event occurred.,0,Actual Date of Delivery (C178050),2
