bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
6 Minute Walk Functional Test,C115789,6 Minute Walk Functional Test (C115789),C81250,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",1,Functional Assessment (C81250); 6 Minute Walk Functional Test (C115789),4
6MWT - Distance at 1 Minute,C115800,6MWT - Distance at 1 Minute (C115800),C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW101;SIXMW1-Distance at 1 Minute,Quantitative,6 Minute Walk Test (6MWT) Distance at 1 minute.,3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409); 6MWT - Distance at 1 Minute (C115800),5
6MWT - Distance at 2 Minutes,C115801,6MWT - Distance at 2 Minutes (C115801),C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW102;SIXMW1-Distance at 2 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 2 minutes.,3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409); 6MWT - Distance at 2 Minutes (C115801),5
6MWT - Distance at 3 Minutes,C115802,6MWT - Distance at 3 Minutes (C115802),C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW103;SIXMW1-Distance at 3 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 3 minutes.,3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409); 6MWT - Distance at 3 Minutes (C115802),5
6MWT - Distance at 4 Minutes,C115803,6MWT - Distance at 4 Minutes (C115803),C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW104;SIXMW1-Distance at 4 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 4 minutes.,3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409); 6MWT - Distance at 4 Minutes (C115803),5
6MWT - Distance at 5 Minutes,C115804,6MWT - Distance at 5 Minutes (C115804),C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW105;SIXMW1-Distance at 5 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 5 minutes.,3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409); 6MWT - Distance at 5 Minutes (C115804),5
6MWT - Distance at 6 Minutes,C115805,6MWT - Distance at 6 Minutes (C115805),C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW106;SIXMW1-Distance at 6 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 6 minutes.,3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409); 6MWT - Distance at 6 Minutes (C115805),5
6MWT Functional Test Question,C115409,6MWT Functional Test Question (C115409),C211913,QRS Instrument Questions,6MWT Question,,A question associated with the 6MWT functional test.,2,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); 6MWT Functional Test Question (C115409),0
ADAS-Cog CDISC Version Functional Test Question,C100106,ADAS-Cog CDISC Version Functional Test Question (C100106),C211913,QRS Instrument Questions,ADAS-Cog CDISC Version Functional Test Question,,A question associated with the ADAS-Cog CDISC version functional test.,2,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); ADAS-Cog CDISC Version Functional Test Question (C100106),0
AIMS - Current Teeth/Dentures Problems,C102044,AIMS - Current Teeth/Dentures Problems (C102044),C101869,QRS;Clinical or Research Assessment Classification;Abnormal Involuntary Movement Scale Clinical Classification;AIMS;AIMS01;AIMS Clinical Classification Question,AIMS01-Current Problems Teeth/Dentures;AIMS0111,Ordinal,"Abnormal Involuntary Movement Scale (AIMS) Dental Status, Current problems with teeth and/or dentures.",3,Clinical or Research Assessment Question (C91102); CDISC QRS Instruments Questions (C211913); AIMS Clinical Classification Question (C101869); AIMS - Current Teeth/Dentures Problems (C102044),5
