package_date,bc_id,sdtmig_start_version,sdtmig_end_version,domain,vlm_source,vlm_group_id,short_name,sdtm_variable,dec_id,nsv_flag,codelist,codelist_submission_value,subset_codelist,value_list,assigned_term,assigned_value,role,subject,linking_phrase,predicate_term,object,data_type,length,format,significant_digits,mandatory_variable,mandatory_value,origin_type,origin_source,comparator,vlm_target
2026-03-31,C41331,3-2,,DS,DS.DECODE,ADVEVENT,Adverse Event [RETIRED],DSCAT,C25372,N,C74558,DSCAT,,,C74590,DISPOSITION EVENT,Qualifier,DSCAT,groups values in,GROUPS,DSTERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2026-03-31,C41331,3-2,,DS,DS.DECODE,ADVEVENT,Adverse Event [RETIRED],DSSCAT,C25692,N,C170443,DSSCAT,,STUDY PARTICIPATION;STUDY TREATMENT,,,Qualifier,DSSCAT,groups values in,GROUPS,DSTERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2026-03-31,C41331,3-2,,DS,DS.DECODE,ADVEVENT,Adverse Event [RETIRED],DSDECOD,C82977,N,C66727,NCOMPLT,,,C41331,ADVERSE EVENT,Qualifier,DSDECOD,is a dictionary-derived term for the value in,IS_DERIVED_FROM,DSTERM,text,200.0,,,Y,Y,Assigned,Sponsor,,
2026-03-31,C41331,3-2,,DS,DS.DECODE,ADVEVENT,Adverse Event [RETIRED],DSTERM,C82571,N,,,,,,,Topic,DSTERM,is original text for,IS_ORIGINAL_TEXT_FOR,DSDECOD,text,200.0,,,Y,Y,Collected,Investigator,,
2026-03-31,C41331,3-2,,DS,DS.DECODE,ADVEVENT,Adverse Event [RETIRED],DSSTDTC,C82517,N,,,,,,,Timing,DSSTDTC,is the start date for,IS_TIMING_FOR,DSTERM,datetime,,,,Y,N,Collected,Investigator,,
2026-03-31,C28554,3-2,,DS,DS.DECODE,DEAD,Dead [RETIRED],DSCAT,C25372,N,C74558,DSCAT,,,C74590,DISPOSITION EVENT,Qualifier,DSCAT,groups values in,GROUPS,DSTERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2026-03-31,C28554,3-2,,DS,DS.DECODE,DEAD,Dead [RETIRED],DSSCAT,C25692,N,C170443,DSSCAT,,STUDY PARTICIPATION;STUDY TREATMENT,,,Qualifier,DSSCAT,groups values in,GROUPS,DSTERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2026-03-31,C28554,3-2,,DS,DS.DECODE,DEAD,Dead [RETIRED],DSDECOD,C82977,N,C66727,NCOMPLT,,,C28554,DEATH,Qualifier,DSDECOD,is a dictionary-derived term for the value in,IS_DERIVED_FROM,DSTERM,text,200.0,,,Y,Y,Assigned,Sponsor,,
2026-03-31,C28554,3-2,,DS,DS.DECODE,DEAD,Dead [RETIRED],DSTERM,C82571,N,,,,,,,Topic,DSTERM,is original text for,IS_ORIGINAL_TEXT_FOR,DSDECOD,text,200.0,,,Y,Y,Collected,Investigator,,
2026-03-31,C28554,3-2,,DS,DS.DECODE,DEAD,Dead [RETIRED],DSSTDTC,C82517,N,,,,,,,Timing,DSSTDTC,is the start date for,IS_TIMING_FOR,DSTERM,datetime,,,,Y,N,Collected,Investigator,,
