package_date,bc_id,sdtmig_start_version,sdtmig_end_version,domain,vlm_source,vlm_group_id,short_name,sdtm_variable,dec_id,nsv_flag,codelist,codelist_submission_value,subset_codelist,value_list,assigned_term,assigned_value,role,subject,linking_phrase,predicate_term,object,data_type,length,format,significant_digits,mandatory_variable,mandatory_value,origin_type,origin_source,comparator,vlm_target
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMGRPID,,N,,,,REGIMEN 1;REGIMEN 2,,,Qualifier,CMGRPID,"groups, within an individual subject, values in",GROUPS,CMTRT,text,20.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMTRT,C70902,N,,,,,,,Topic,CMTRT,is original text for,IS_ORIGINAL_TEXT_FOR,CMDECOD,text,200.0,,,Y,Y,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMDECOD,C83345,N,,,,,,,Qualifier,CMDECOD,is the dictionary-derived term for the value in,DECODES,CMTRT,text,200.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMCAT,C25372,N,,,,,,ANTI-CANCER THERAPY,Qualifier,,,,,text,200.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMSCAT,C25692,N,,,,,,PRIOR,Qualifier,,,,,text,200.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMPRESP,C171000,N,C66742,NY,,,,,Qualifier,CMPRESP,indicates pre-specification of the value in,IS_INDICATOR_FOR,CMTRT,text,1.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMOCCUR,C127786,N,C66742,NY,,,,,Qualifier,CMOCCUR,indicates occurrence of the value in,IS_INDICATOR_FOR,CMTRT,text,1.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMCLAS,,N,,,,,,,Qualifier,CMCLAS,is the dictionary-derived class name for the value in,IS_DERIVED_FROM,CMTRT,text,200.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMCLASCD,,N,,,,,,,Qualifier,CMCLASCD,is the dictionary-derived class code for the value in,IS_DECODED_BY,CMTRT,text,200.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMINDC,C83085,N,,,,,,,Qualifier,CMINDC,is the medical condition that is the reason for the treatment in,IS_REASON_FOR,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMDOSE,C83221,N,,,,,,,Qualifier,CMDOSE,is the administered amount of the treatment in,IS_ATTRIBUTE_FOR,CMTRT,text,40.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMDOSU,C83034,N,C71620,UNIT,,,,,Qualifier,CMDOSU,is the unit for,IS_UNIT_FOR,CMDOSE,text,40.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMDOSFRM,C83110,N,C66726,FRM,,,,,Qualifier,CMDOSFRM,is the physical form of the product in,IS_ATTRIBUTE_FOR,CMTRT,text,40.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMDOSFRQ,,N,C71113,FREQ,,,,,Qualifier,CMDOSFRQ,is the frequency of administration of the amount in,SPECIFIES,CMDOSE,text,40.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMDOSRGM,,N,,,,,,,Qualifier,CMDOSRGM,is the textual description of the intended dose regimen for,IS_ATTRIBUTE_FOR,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMROUTE,C83120,N,C66729,ROUTE,,,,,Qualifier,CMROUTE,is the part of the body through which is administered the treatment in,IS_ATTRIBUTE_FOR,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMRSDISC,,N,,,,COMPLETED PRESCRIBED REGIMEN;DISEASE PROGRESSION;TOXICITY,,,Qualifier,CMRSDISC,is the medical condition that is the reason for the treatment in,IS_REASON_FOR,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMSTDTC,C83235,N,,,,,,,Timing,CMSTDTC,is the start date for,IS_TIMING_FOR,CMTRT,datetime,,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMENDTC,C83225,N,,,,,,,Timing,CMENDTC,is the end date for,IS_TIMING_FOR,CMTRT,datetime,,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMENRF,,N,C66728,STENRF,,,,,Timing,,,,,text,40.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMENTPT,,N,,,,,,,Timing,,,,,datetime,,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMENRTPT,,N,C66728,STENRF,,,,,Timing,,,,,text,40.0,,,N,N,Assigned,Sponsor,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMTRTSTT,,N,C124308,TRTSET,,ADJUVANT;METASTATIC;NEO-ADJUVANT;LOCALLY ADVANCED,,,Qualifier,CMTRTSTT,is the clinical trial or treatment setting for,QUALIFIES,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2026-07-14,C53630,3-2,,CM,CM.CMTRT,CMPRIORCANCER,Prior Anti-Cancer Therapy,CMTRTINT,,N,C124307,TRTINTNT,,PALLIATIVE;CURATIVE,,,Qualifier,CMTRTINT,is the intended disease outcome for,QUALIFIES,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISTESTCD,,N,C120525,ISTESTCD,,,C181398,ARIGEAB,Topic,ISTESTCD,is the code for the value in,IS_DECODED_BY,ISTEST,,,,,Y,Y,Assigned,Sponsor,EQ,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISTEST,,N,C120526,ISTEST,,,C181398,Allergen-induced IgE Antibody,Qualifier,ISTEST,decodes the value in,DECODES,ISTESTCD,,,,,Y,Y,Assigned,Sponsor,,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISBDAGNT,C42647,N,C85491,MICROORG,,,C87529,ALTERNARIA ALTERNATA,Qualifier,ISBDAGNT,is the substance bound to the analyte in,IS_ATTRIBUTE_FOR,ISTESTCD,,,,,N,N,,,EQ,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISTSTDTL,C117062,N,C189267,ISFTSDTL,,,C202374,MAST 7-CLASS,Qualifier,ISTSTDTL,further describes the test in,SPECIFIES,ISTESTCD,,,,,N,N,,,EQ,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISCAT,C25372,N,,,,,,,Qualifier,ISCAT,groups values in,GROUPS,ISTESTCD,,,,,N,N,,,,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISSCAT,C25692,N,,,,,,,Qualifier,ISSCAT,values are grouped by,IS_GROUPED_BY,ISCAT,,,,,N,N,,,,
2026-07-14,C181398,3-4,,IS,IS.ISTESTCD,ARIGEABAAMAST7,Allergen-induced IgE Antibody for Alternaria Alternata Mast 7-Class,ISORRES,C46126,N,,,,CLASS 0;CLASS 1;CLASS 2;CLASS 3;CLASS 4;CLASS 5;CLASS 6,,,Qualifier,ISORRES,is the result of the test in,IS_RESULT_OF,ISTESTCD,text,10.0,,,Y,Y,Collected,Vendor,,Y
