bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
6MWT - Distance at 6 Minutes,C115805,6MWT - Distance at 6 Minutes (C115805),C115409,QRS;Functional Tests;6MWT;6 Minute Walk Functional Test;Six Minute Walk,SIXMW106;SIXMW1-Distance at 6 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 6 minutes.,0,6MWT - Distance at 6 Minutes (C115805),5
APACHE II - Total APACHE II Score,C121113,APACHE II - Total APACHE II Score (C121113),C120994,QRS;APACHE II;Acute Physiology and Chronic Health Evaluation II Clinical Classification,APCH1-Total APACHE II Score;APCH116,Ordinal,Acute Physiology and Chronic Health Evaluation II (APACHE II) Total APACHE II score.,0,APACHE II - Total APACHE II Score (C121113),4
Allergen-induced Antibody Measurement,C182150,Allergen-induced Antibody Measurement (C182150),,Allergen-induced Antibody Measurement,,,"The determination of the allergen-induced, binding antibody in a biospecimen.",0,Allergen-induced Antibody Measurement (C182150),0
Allergen-induced IgA Antibody Measurement,C187776,Allergen-induced IgA Antibody Measurement (C187776),C182150,Laboratory Tests;Immunogenicity Specimen Assessments;Immunoglobulin A Measurements;Allergen-induced Antibody Measurements,ARIGAAB;Allergen-induced IgA Antibody,Quantitative;Ordinal,The determination of the amount of allergen-induced IgA antibody in a sample.,1,Allergen-induced Antibody Measurement (C182150); Allergen-induced IgA Antibody Measurement (C187776),9
Allergen-induced IgE Antibody Measurement,C181398,Allergen-induced IgE Antibody Measurement (C181398),C182150,Laboratory Tests;Immunogenicity Specimen Assessments;Immunoglobulin E Measurements;Allergen-induced Antibody Measurements,ARIGEAB;Allergen-induced IgE Antibody,Quantitative;Ordinal,"The determination of the allergen-induced, binding IgE antibody in a biospecimen.",1,Allergen-induced Antibody Measurement (C182150); Allergen-induced IgE Antibody Measurement (C181398),11
Allergen-induced IgM Antibody Measurement,C187779,Allergen-induced IgM Antibody Measurement (C187779),C182150,Laboratory Tests;Immunogenicity Specimen Assessments;Immunoglobulin M Measurements;Allergen-induced Antibody Measurements,ARIGMAB;Allergen-induced IgM Antibody,Quantitative,The determination of the amount of allergen-induced IgM antibody in a sample.,1,Allergen-induced Antibody Measurement (C182150); Allergen-induced IgM Antibody Measurement (C187779),9
Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test (C100762),C81250,Research or Clinical Assessment Tools;Clinical Classification Instruments;QRS,,,"The CDISC version of the Alzheimer's Disease Assessment Scale-Cognitive (CDISC ADAS-Cog) containing 15 summary-level tests. This version is based on combining the total pool of ADAS-Cog tests that were observed during a review of multiple case report forms administered in clinical trials of Alzheimer's disease, as well as the CRF administered in the Alzheimer's Disease Neuroimaging Initiative (ADNI) observational study.  (Modified from Mohs RC, Rosen WG, Davis KL. The Alzheimer's disease assessment scale: an instrument for assessing treatment efficacy. Psychopharmacol Bull 1983;19(3):448-450. Rosen WG, Mohs RC, Davis KL. A new rating scale for Alzheimer's disease. Am J Psychiatry 1984;141(11):1356-1364. Mohs RC, Knopman D, Petersen RC et al. Development of cognitive instruments for use in clinical trials of antidementia drugs: additions to the Alzheimer's Disease Assessment Scale that broaden its scope. The Alzheimer's Disease Cooperative Study. Alzheimer Dis Assoc Disord 1997;11 Suppl 2:S13-S21. Wouters H, van Gool WA, Schmand B, Lindeboom R. Revising the ADAS-cog for a more accurate assessment of cognitive impairment. Alzheimer Dis Assoc Disord 2008;22(3):236-244.).",0,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test (C100762),4
Autoantibody Measurement,C181397,Autoantibody Measurement (C181397),,Laboratory Tests;Immunogenicity Specimen Assessments;Autoantibody Measurement,,,The determination of the binding autoantibody in a biospecimen.,0,Autoantibody Measurement (C181397),0
Automated Breast Ultrasound,C186741,Automated Breast Ultrasound (C186741),C19337,Diagnostic Imaging;Medical Imaging,Automated Ultrasound;Diagnostic Ulatrasound;Ultrasound,Nominal,"A method of ultrasonography for secondary breast cancer screening in asymptomatic women with dense breasts. It uses an ultrasound scanner and a transducer device which moves automatically in a scan box. The patient lies in a supine position and automated breast ultrasound is performed in anteroposterior, medial, and lateral views routinely, and in the superior or inferior view additionally in cases of large breasts. The image series is used for 3-dimensional image reconstruction and tumor detection.",3,Imaging Procedure (C17369); Ultrasound Imaging (C17230); Diagnostic Ultrasound (C19337); Automated Breast Ultrasound (C186741),11
BPRS-Anchored - Anxiety,C100373,BPRS-Anchored - Anxiety (C100373),C100109,QRS;Clinical or Research Assessment Classification;Brief Psychiatric Rating Scale A Clinical Classification;BPRS-A;BPRSA1;BPRS-Anchored Clinical Classification Question,BPRSA1-Anxiety;BPRSA102;BPRS-Anchored - Anxiety,Ordinal,Brief Psychiatric Rating Scale-Anchored (BPRS-A) Anxiety.,1,BPRS-Anchored Clinical Classification Question (C100109); BPRS-Anchored - Anxiety (C100373),5
